resample	median_variance
246	104.166667
247	103.281250
248	73.504167
249	89.454167
250	113.883333
251	98.541667
252	68.114583
253	70.114583
254	120.041667
255	80.462500
256	99.114583
257	86.291667
258	109.287500
259	110.500000
260	88.114583
261	86.072917
262	80.708333
263	115.208333
264	87.791667
265	75.666667
266	70.791667
267	128.364583
268	96.000000
269	92.708333
270	74.368750
271	86.541667
272	74.791667
273	135.791667
274	121.416667
275	113.166667
276	88.281250
277	100.000000
278	91.333333
279	77.864583
280	106.079167
281	87.791667
282	122.000000
283	83.654167
284	99.395833
285	115.333333
286	79.208333
287	150.833333
288	79.614583
289	122.666667
290	67.708333
291	84.079167
292	80.379167
293	101.333333
294	102.895833
295	85.333333
296	112.291667
297	113.166667
298	98.166667
299	85.333333
300	98.781250
301	105.768750
302	112.166667
303	77.666667
304	75.125000
305	91.541667
306	67.500000
307	160.708333
308	106.833333
309	74.531250
310	107.875000
311	113.875000
312	83.333333
313	75.227679
314	119.533333
315	99.281250
316	114.406250
317	91.322917
318	104.541667
319	78.300000
320	96.833333
321	82.197917
322	88.829167
323	83.300000
324	99.787500
325	75.995833
326	79.458333
327	80.166667
328	123.364583
329	88.114583
330	78.050000
331	124.947917
332	70.833333
333	98.333333
334	95.458333
335	124.208333
336	69.958333
337	146.000000
338	131.541667
339	128.000000
340	84.041667
341	67.625000
342	77.583333
343	117.854167
344	76.000000
345	71.781250
346	85.654167
347	106.045833
348	64.166667
349	104.781250
350	77.666667
351	104.208333
352	121.864583
353	69.946429
354	101.229167
355	105.895833
356	68.818750
357	76.735417
358	104.220833
359	84.333333
360	118.031250
361	98.229167
362	114.287500
363	86.697917
364	130.162500
365	74.041667
366	67.061012
367	130.416667
368	70.000000
369	92.833333
370	106.833333
371	70.497917
372	94.197917
373	116.962500
374	81.004167
375	86.666667
376	120.791667
377	77.833333
378	116.364583
379	99.166667
380	77.912500
381	112.458333
382	80.708333
383	145.750000
384	99.166667
385	101.729167
386	105.625000
387	85.833333
388	80.258333
389	76.625000
390	59.583333
391	66.291667
392	79.166667
393	94.262500
394	88.541667
395	112.833333
396	120.333333
397	90.166667
398	124.364583
399	111.791667
400	110.016667
401	102.562500
402	110.291667
403	76.666667
404	65.845833
405	75.791667
406	88.187500
407	90.400000
408	102.100000
409	108.239583
410	81.416667
411	103.000000
412	68.197917
413	95.541667
414	92.125000
415	122.625000
416	80.333333
417	85.541667
418	76.291667
419	87.562500
420	99.864583
421	113.750000
422	88.625000
423	79.125000
424	111.108631
425	97.000000
426	88.833333
427	79.708333
428	91.383333
429	117.333333
430	145.062500
431	84.291667
432	93.708333
433	107.050000
434	133.458333
435	111.031250
436	90.156250
437	77.379167
438	144.083333
439	116.250000
440	105.950000
441	93.216667
442	81.866667
443	80.333333
444	88.333333
445	80.791667
446	116.697917
447	87.458333
448	65.333333
449	126.614583
450	76.697917
451	66.781250
452	105.166667
453	78.250000
454	120.281250
455	89.833333
456	120.666667
457	82.291667
458	104.541667
459	68.287500
460	104.562500
461	108.875000
462	99.816667
463	88.333333
464	91.629167
465	127.197917
466	83.906250
467	77.708333
468	72.406250
469	89.583333
470	110.541667
471	89.954167
472	110.337500
473	93.489583
474	82.958333
475	70.452381
476	90.166667
477	96.087500
478	86.879167
479	104.375000
480	72.541667
481	106.012500
482	82.666667
483	117.416667
484	71.583333
485	134.875000
486	73.791667
487	104.958333
488	117.312500
489	101.208333
490	82.708333
491	87.197917
492	71.697917
493	78.493750
494	79.947917
495	98.833333
496	141.395833
497	71.670833
498	88.333333
499	133.000000
500	104.291667
501	87.833333
502	94.614583
503	83.208333
504	120.575000
505	104.375000
506	76.489583
507	117.664583
508	79.166667
509	144.864583
510	98.166667
511	107.697917
512	87.708333
513	79.750000
514	79.250000
515	79.850000
516	106.041667
517	85.208333
518	113.462500
519	85.281250
520	116.333333
521	78.958333
522	98.833333
523	87.562500
524	119.879167
525	145.489583
526	64.541667
527	77.687500
528	77.666667
529	75.333333
530	89.958333
531	118.114583
532	126.625000
533	99.954167
534	88.414583
535	105.112500
536	102.650000
537	86.454167
538	114.031250
539	73.625000
540	119.239583
541	129.458333
