permutation	qualifying_units	median_variance
175	74	1136.125
176	81	1352.25
177	74	871.3541666666667
178	77	991.5833333333334
179	76	951.5875
180	76	837.5
181	75	1170.2
182	74	1020.2916666666666
183	72	943.6875
184	73	967.0
185	75	967.0
186	77	1073.5833333333333
187	78	1011.6416666666667
188	72	938.3333333333333
189	71	1056.3333333333333
190	74	1032.5833333333333
191	77	991.5833333333334
192	81	661.0
193	79	909.6666666666666
194	77	824.9166666666666
195	71	967.0
196	80	979.2916666666667
197	75	920.375
198	75	991.5833333333334
199	72	872.6458333333333
200	72	964.1666666666667
201	74	1161.3916666666667
202	78	631.3333333333334
203	76	664.5041666666666
204	79	1170.2
205	82	979.2916666666667
206	77	824.9166666666666
207	77	735.0
208	76	1177.8916666666667
209	78	979.2916666666667
210	81	1031.7
211	77	1178.3958333333333
212	72	714.5041666666666
213	77	1249.2
214	83	1031.7
215	77	1352.25
216	77	991.5833333333334
217	74	1090.0833333333333
218	74	802.025
219	75	991.5833333333334
220	76	1268.2916666666665
221	74	1121.8916666666667
222	74	1180.225
223	73	1014.6666666666666
224	77	683.675
225	79	991.5833333333334
226	76	1032.5833333333333
227	77	1027.0
228	79	1132.3333333333333
229	79	1170.2
230	75	967.0
231	74	1223.9333333333334
232	76	1036.1979166666667
233	77	967.0
234	76	1025.3645833333335
235	78	1261.7666666666667
236	77	645.3333333333334
237	75	991.5833333333334
238	77	683.675
239	74	802.025
240	75	1170.2
241	77	1073.5833333333333
242	72	1032.5833333333333
243	73	1365.3333333333333
244	73	1073.5833333333333
245	77	683.675
246	79	824.9166666666666
247	73	675.2857142857143
248	80	1121.8916666666667
249	76	979.2916666666667
250	72	1138.3916666666667
251	78	672.3375
252	77	661.0
253	74	1048.7916666666665
254	74	672.3375
255	76	1049.0833333333333
256	75	991.5833333333334
257	76	653.6666666666667
258	79	936.175
259	77	967.0
260	77	1249.2
261	74	1071.625
262	78	979.2916666666667
263	73	1034.9166666666667
264	73	683.675
265	80	1048.7916666666665
266	73	824.9166666666666
267	78	868.4583333333334
268	79	991.5833333333334
269	79	936.175
270	77	1073.5833333333333
271	78	938.3333333333333
272	81	1106.5833333333333
273	73	1073.5833333333333
274	72	979.2916666666667
275	74	482.01666666666665
276	80	979.2916666666667
277	74	1065.65625
278	75	683.675
279	76	1032.5833333333333
280	81	661.0
281	74	664.5041666666666
282	83	991.5833333333334
283	81	967.0
284	69	1132.3333333333333
